timestamp,value
2025-04-02 18:10:55,SAFE
2025-04-02 18:10:56,SAFE
2025-04-02 18:10:56,SAFE
2025-04-02 18:10:56,SAFE
2025-04-02 18:10:57,SAFE
2025-04-02 18:10:57,SAFE
2025-04-02 18:10:57,SAFE
2025-04-02 18:10:58,SAFE
2025-04-02 18:10:58,SAFE
2025-04-02 18:10:58,SAFE
2025-04-02 18:10:58,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:01,SAFE
2025-04-02 18:11:02,SAFE
2025-04-02 18:11:02,SAFE
2025-04-02 18:11:02,SAFE
2025-04-02 18:11:02,SAFE
2025-04-02 18:11:03,SAFE
2025-04-02 18:11:03,SAFE
2025-04-02 18:11:05,SAFE
2025-04-02 18:11:05,SAFE
2025-04-02 18:11:05,SAFE
2025-04-02 18:11:05,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:06,SAFE
2025-04-02 18:11:07,SAFE
2025-04-02 18:11:07,SAFE
2025-04-02 18:11:07,SAFE
2025-04-02 18:11:08,SAFE
2025-04-02 18:11:08,SAFE
2025-04-02 18:11:08,SAFE
2025-04-02 18:11:08,SAFE
2025-04-02 18:11:09,SAFE
2025-04-02 18:11:09,SAFE
2025-04-02 18:11:09,SAFE
2025-04-02 18:11:09,SAFE
2025-04-02 18:11:10,SAFE
2025-04-02 18:11:10,SAFE
2025-04-02 18:11:10,SAFE
2025-04-02 18:11:11,SAFE
2025-04-02 18:11:11,SAFE
2025-04-02 18:11:11,SAFE
2025-04-02 18:11:12,SAFE
2025-04-02 18:11:12,SAFE
2025-04-02 18:11:12,SAFE
2025-04-02 18:11:13,SAFE
2025-04-02 18:11:13,SAFE
2025-04-02 18:11:13,SAFE
2025-04-02 18:11:14,SAFE
2025-04-02 18:11:14,SAFE
2025-04-02 18:11:14,SAFE
2025-04-02 18:11:14,SAFE
2025-04-02 18:11:15,SAFE
2025-04-02 18:11:15,SAFE
2025-04-02 18:11:15,SAFE
2025-04-02 18:11:15,SAFE
2025-04-02 18:11:16,SAFE
2025-04-02 18:11:16,SAFE
2025-04-02 18:11:16,SAFE
2025-04-02 18:11:16,SAFE
2025-04-02 18:11:17,SAFE
2025-04-02 18:11:17,SAFE
2025-04-02 18:11:17,SAFE
2025-04-02 18:11:17,SAFE
2025-04-02 18:11:18,SAFE
2025-04-02 18:11:18,SAFE
2025-04-02 18:11:18,SAFE
2025-04-02 18:11:18,SAFE
2025-04-02 18:11:19,SAFE
2025-04-02 18:11:19,SAFE
2025-04-02 18:11:19,SAFE
2025-04-02 18:11:20,SAFE
2025-04-02 18:11:20,SAFE
2025-04-02 18:11:20,SAFE
2025-04-02 18:11:21,SAFE
2025-04-02 18:11:21,SAFE
2025-04-02 18:11:21,SAFE
2025-04-02 18:11:21,SAFE
2025-04-02 18:11:22,SAFE
2025-04-02 18:11:22,SAFE
2025-04-02 18:11:22,SAFE
2025-04-02 18:11:22,SAFE
2025-04-02 18:11:23,SAFE
2025-04-02 18:11:23,SAFE
2025-04-02 18:11:24,SAFE
2025-04-02 18:11:24,SAFE
2025-04-02 18:11:24,SAFE
2025-04-02 18:11:24,SAFE
2025-04-02 18:11:25,SAFE
2025-04-02 18:11:25,SAFE
2025-04-02 18:11:25,SAFE
2025-04-02 18:11:25,SAFE
2025-04-02 18:11:26,SAFE
2025-04-02 18:11:26,SAFE
2025-04-02 18:11:27,SAFE
2025-04-02 18:11:27,SAFE
2025-04-02 18:11:27,SAFE
2025-04-02 18:11:27,SAFE
2025-04-02 18:11:27,SAFE
2025-04-02 18:11:27,SAFE
2025-04-02 18:11:28,SAFE
2025-04-02 18:11:28,SAFE
2025-04-02 18:11:28,SAFE
2025-04-02 18:11:29,SAFE
2025-04-02 18:11:29,SAFE
2025-04-02 18:11:29,SAFE
2025-04-02 18:11:30,SAFE
2025-04-02 18:11:30,SAFE
2025-04-02 18:11:31,SAFE
2025-04-02 18:11:31,SAFE
2025-04-02 18:11:31,SAFE
2025-04-02 18:11:31,SAFE
2025-04-02 18:11:32,SAFE
2025-04-02 18:11:32,SAFE
2025-04-02 18:11:32,SAFE
2025-04-02 18:11:32,SAFE
2025-04-02 18:11:33,SAFE
2025-04-02 18:11:33,SAFE
2025-04-02 18:11:33,SAFE
2025-04-02 18:11:34,SAFE
2025-04-02 18:11:34,SAFE
2025-04-02 18:11:34,SAFE
2025-04-02 18:11:34,SAFE
2025-04-02 18:11:35,SAFE
2025-04-02 18:11:35,SAFE
2025-04-02 18:11:35,SAFE
2025-04-02 18:11:36,SAFE
2025-04-02 18:11:36,SAFE
2025-04-02 18:11:36,SAFE
2025-04-02 18:11:37,SAFE
2025-04-02 18:11:37,SAFE
2025-04-02 18:11:37,SAFE
2025-04-02 18:11:37,SAFE
2025-04-02 18:11:38,SAFE
2025-04-02 18:11:38,SAFE
2025-04-02 18:11:38,SAFE
2025-04-02 18:11:39,SAFE
2025-04-02 18:11:39,SAFE
2025-04-02 18:11:39,SAFE
2025-04-02 18:11:39,SAFE
2025-04-02 18:11:40,SAFE
2025-04-02 18:11:40,SAFE
2025-04-02 18:11:40,SAFE
2025-04-02 18:11:41,SAFE
2025-04-02 18:11:42,SAFE
2025-04-02 18:11:42,SAFE
2025-04-02 18:11:42,SAFE
2025-04-02 18:11:42,SAFE
2025-04-02 18:11:43,SAFE
2025-04-02 18:11:43,SAFE
